name,id,date,NO2
承德,承德,20200101,50.16666666666666
承德,承德,20200102,60.91666666666666
承德,承德,20200103,59.91666666666666
承德,承德,20200104,54.91666666666666
承德,承德,20200105,58.41666666666666
承德,承德,20200106,62.333333333333336
承德,承德,20200107,39.333333333333336
承德,承德,20200108,32.541666666666664
承德,承德,20200109,47.16666666666666
承德,承德,20200110,38.625
承德,承德,20200111,36.16666666666666
承德,承德,20200112,32.875
承德,承德,20200113,28.125
承德,承德,20200114,42.75
承德,承德,20200115,52.75
承德,承德,20200116,50.583333333333336
承德,承德,20200117,55.75
承德,承德,20200118,55.958333333333336
承德,承德,20200119,35.958333333333336
承德,承德,20200120,31.5
承德,承德,20200121,45.833333333333336
承德,承德,20200122,53.31578947368421
承德,承德,20200123,44.125
承德,承德,20200124,36.91666666666666
承德,承德,20200125,41.91666666666666
承德,承德,20200126,39.875
承德,承德,20200127,36.458333333333336
承德,承德,20200128,34.208333333333336
承德,承德,20200129,25.291666666666668
承德,承德,20200130,24.58333333333333
承德,承德,20200131,24.83333333333333
承德,承德,20200201,15.0
承德,承德,20200202,17.333333333333332
承德,承德,20200203,18.416666666666668
承德,承德,20200204,18.75
承德,承德,20200205,18.83333333333333
承德,承德,20200206,29.95833333333333
承德,承德,20200207,30.291666666666668
承德,承德,20200208,26.416666666666668
承德,承德,20200209,32.291666666666664
承德,承德,20200210,40.083333333333336
承德,承德,20200211,43.16666666666666
承德,承德,20200212,43.91666666666666
承德,承德,20200213,40.75
承德,承德,20200214,10.958333333333334
承德,承德,20200215,6.875
承德,承德,20200216,5.541666666666667
承德,承德,20200217,10.166666666666666
承德,承德,20200218,32.875
承德,承德,20200219,35.25
承德,承德,20200220,47.25
承德,承德,20200221,37.125
承德,承德,20200222,13.958333333333334
承德,承德,20200223,35.875
承德,承德,20200224,39.458333333333336
承德,承德,20200225,21.33333333333333
承德,承德,20200226,26.25
承德,承德,20200227,32.166666666666664
承德,承德,20200228,36.61111111111112
承德,承德,20200229,49.16666666666666
承德,承德,20200301,25.875
承德,承德,20200302,26.58333333333333
